Source,Target,Type
9,4,Undirected
9,6,Undirected
9,7,Undirected
9,8,Undirected
9,10,Undirected
9,11,Undirected
9,12,Undirected
9,15,Undirected
9,18,Undirected
9,19,Undirected
9,20,Undirected
9,21,Undirected
9,22,Undirected
9,23,Undirected
9,25,Undirected
9,27,Undirected
9,29,Undirected
9,33,Undirected
9,35,Undirected
9,37,Undirected
9,38,Undirected
9,39,Undirected
9,42,Undirected
9,43,Undirected
9,46,Undirected
9,53,Undirected
9,58,Undirected
9,62,Undirected
10,4,Undirected
10,8,Undirected
10,9,Undirected
10,11,Undirected
10,15,Undirected
10,22,Undirected
10,23,Undirected
10,30,Undirected
10,31,Undirected
10,34,Undirected
10,49,Undirected
11,2,Undirected
11,3,Undirected
11,4,Undirected
11,7,Undirected
11,8,Undirected
11,9,Undirected
11,10,Undirected
11,12,Undirected
11,15,Undirected
11,19,Undirected
11,21,Undirected
11,22,Undirected
11,23,Undirected
11,25,Undirected
11,26,Undirected
11,27,Undirected
11,29,Undirected
11,30,Undirected
11,31,Undirected
11,32,Undirected
11,34,Undirected
11,37,Undirected
11,39,Undirected
11,41,Undirected
11,42,Undirected
11,43,Undirected
11,44,Undirected
11,46,Undirected
11,47,Undirected
11,49,Undirected
11,51,Undirected
11,52,Undirected
11,59,Undirected
11,63,Undirected
11,67,Undirected
11,68,Undirected
11,71,Undirected
11,72,Undirected
11,76,Undirected
12,1,Undirected
12,2,Undirected
12,4,Undirected
12,5,Undirected
12,6,Undirected
12,7,Undirected
12,8,Undirected
12,9,Undirected
12,11,Undirected
12,14,Undirected
12,15,Undirected
12,16,Undirected
12,17,Undirected
12,18,Undirected
12,19,Undirected
12,20,Undirected
12,21,Undirected
12,22,Undirected
12,24,Undirected
12,25,Undirected
12,27,Undirected
12,29,Undirected
12,32,Undirected
12,33,Undirected
12,34,Undirected
12,35,Undirected
12,36,Undirected
12,37,Undirected
12,38,Undirected
12,39,Undirected
12,40,Undirected
12,41,Undirected
12,43,Undirected
12,46,Undirected
12,47,Undirected
12,48,Undirected
12,50,Undirected
12,52,Undirected
12,53,Undirected
12,55,Undirected
12,56,Undirected
12,59,Undirected
12,61,Undirected
12,62,Undirected
12,70,Undirected
12,72,Undirected
13,4,Undirected
13,21,Undirected
13,36,Undirected
13,47,Undirected
13,54,Undirected
13,63,Undirected
13,66,Undirected
13,67,Undirected
14,6,Undirected
14,12,Undirected
14,36,Undirected
14,53,Undirected
15,4,Undirected
15,6,Undirected
15,7,Undirected
15,8,Undirected
15,9,Undirected
15,10,Undirected
15,11,Undirected
15,12,Undirected
15,16,Undirected
15,17,Undirected
15,18,Undirected
15,19,Undirected
15,20,Undirected
15,21,Undirected
15,22,Undirected
15,23,Undirected
15,25,Undirected
15,26,Undirected
15,27,Undirected
15,29,Undirected
15,30,Undirected
15,31,Undirected
15,32,Undirected
15,33,Undirected
15,34,Undirected
15,37,Undirected
15,39,Undirected
15,40,Undirected
15,42,Undirected
15,43,Undirected
15,46,Undirected
15,49,Undirected
15,52,Undirected
15,53,Undirected
15,57,Undirected
15,64,Undirected
15,70,Undirected
15,71,Undirected
16,4,Undirected
16,6,Undirected
16,12,Undirected
16,15,Undirected
16,17,Undirected
16,29,Undirected
16,36,Undirected
17,2,Undirected
17,4,Undirected
17,6,Undirected
17,7,Undirected
17,12,Undirected
17,15,Undirected
17,16,Undirected
17,18,Undirected
17,23,Undirected
17,24,Undirected
17,25,Undirected
17,29,Undirected
17,36,Undirected
17,38,Undirected
17,41,Undirected
17,45,Undirected
17,48,Undirected
17,69,Undirected
18,1,Undirected
18,2,Undirected
18,4,Undirected
18,5,Undirected
18,6,Undirected
18,7,Undirected
18,8,Undirected
18,9,Undirected
18,12,Undirected
18,15,Undirected
18,17,Undirected
18,19,Undirected
18,20,Undirected
18,21,Undirected
18,24,Undirected
18,25,Undirected
18,28,Undirected
18,29,Undirected
18,32,Undirected
18,33,Undirected
18,35,Undirected
18,36,Undirected
18,37,Undirected
18,39,Undirected
18,41,Undirected
18,43,Undirected
18,47,Undirected
18,48,Undirected
18,49,Undirected
18,52,Undirected
18,53,Undirected
18,55,Undirected
18,56,Undirected
18,69,Undirected
18,70,Undirected
18,72,Undirected
19,2,Undirected
19,4,Undirected
19,6,Undirected
19,7,Undirected
19,9,Undirected
19,11,Undirected
19,12,Undirected
19,15,Undirected
19,18,Undirected
19,20,Undirected
19,21,Undirected
19,22,Undirected
19,24,Undirected
19,25,Undirected
19,27,Undirected
19,29,Undirected
19,32,Undirected
19,33,Undirected
19,34,Undirected
19,35,Undirected
19,36,Undirected
19,37,Undirected
19,38,Undirected
19,39,Undirected
19,40,Undirected
19,41,Undirected
19,42,Undirected
19,43,Undirected
19,44,Undirected
19,45,Undirected
19,46,Undirected
19,47,Undirected
19,48,Undirected
19,49,Undirected
19,50,Undirected
19,52,Undirected
19,53,Undirected
19,55,Undirected
19,56,Undirected
19,59,Undirected
19,62,Undirected
19,63,Undirected
19,69,Undirected
19,70,Undirected
19,72,Undirected
20,4,Undirected
20,6,Undirected
20,7,Undirected
20,9,Undirected
20,12,Undirected
20,15,Undirected
20,18,Undirected
20,19,Undirected
20,21,Undirected
20,22,Undirected
20,24,Undirected
20,25,Undirected
20,29,Undirected
20,32,Undirected
20,33,Undirected
20,37,Undirected
20,38,Undirected
20,39,Undirected
20,40,Undirected
20,41,Undirected
20,43,Undirected
20,47,Undirected
20,52,Undirected
20,55,Undirected
21,1,Undirected
21,2,Undirected
21,3,Undirected
21,4,Undirected
21,6,Undirected
21,7,Undirected
21,8,Undirected
21,9,Undirected
21,11,Undirected
21,12,Undirected
21,13,Undirected
21,15,Undirected
21,18,Undirected
21,19,Undirected
21,20,Undirected
21,22,Undirected
21,23,Undirected
21,24,Undirected
21,25,Undirected
21,27,Undirected
21,29,Undirected
21,32,Undirected
21,33,Undirected
21,34,Undirected
21,35,Undirected
21,38,Undirected
21,39,Undirected
21,40,Undirected
21,43,Undirected
21,44,Undirected
21,45,Undirected
21,46,Undirected
21,47,Undirected
21,49,Undirected
21,50,Undirected
21,54,Undirected
21,63,Undirected
21,64,Undirected
21,65,Undirected
21,66,Undirected
21,67,Undirected
21,68,Undirected
22,3,Undirected
22,4,Undirected
22,6,Undirected
22,7,Undirected
22,8,Undirected
22,9,Undirected
22,10,Undirected
22,11,Undirected
22,12,Undirected
22,15,Undirected
22,19,Undirected
22,20,Undirected
22,21,Undirected
22,23,Undirected
22,25,Undirected
22,27,Undirected
22,29,Undirected
22,31,Undirected
22,32,Undirected
22,39,Undirected
22,40,Undirected
22,42,Undirected
22,43,Undirected
22,47,Undirected
22,48,Undirected
22,52,Undirected
22,63,Undirected
22,68,Undirected
23,3,Undirected
23,4,Undirected
23,7,Undirected
23,8,Undirected
23,9,Undirected
23,10,Undirected
23,11,Undirected
23,15,Undirected
23,17,Undirected
23,21,Undirected
23,22,Undirected
23,25,Undirected
23,26,Undirected
23,27,Undirected
23,30,Undirected
23,31,Undirected
23,34,Undirected
23,42,Undirected
23,43,Undirected
23,44,Undirected
23,45,Undirected
23,49,Undirected
23,63,Undirected
23,66,Undirected
23,70,Undirected
23,71,Undirected
24,2,Undirected
24,4,Undirected
24,6,Undirected
24,7,Undirected
24,12,Undirected
24,17,Undirected
24,18,Undirected
24,19,Undirected
24,20,Undirected
24,21,Undirected
24,25,Undirected
24,29,Undirected
24,32,Undirected
24,33,Undirected
24,36,Undirected
24,41,Undirected
24,43,Undirected
24,44,Undirected
24,46,Undirected
24,47,Undirected
24,48,Undirected
24,50,Undirected
24,52,Undirected
24,53,Undirected
24,55,Undirected
24,56,Undirected
24,69,Undirected
24,72,Undirected
25,4,Undirected
25,6,Undirected
25,7,Undirected
25,9,Undirected
25,11,Undirected
25,12,Undirected
25,15,Undirected
25,17,Undirected
25,18,Undirected
25,19,Undirected
25,20,Undirected
25,21,Undirected
25,22,Undirected
25,23,Undirected
25,24,Undirected
25,26,Undirected
25,27,Undirected
25,29,Undirected
25,30,Undirected
25,32,Undirected
25,33,Undirected
25,39,Undirected
25,40,Undirected
25,41,Undirected
25,42,Undirected
25,43,Undirected
25,44,Undirected
25,46,Undirected
25,47,Undirected
25,48,Undirected
25,49,Undirected
25,53,Undirected
25,55,Undirected
25,56,Undirected
25,69,Undirected
25,70,Undirected
25,72,Undirected
25,76,Undirected
26,4,Undirected
26,7,Undirected
26,11,Undirected
26,15,Undirected
26,23,Undirected
26,25,Undirected
26,27,Undirected
26,31,Undirected
26,34,Undirected
26,37,Undirected
26,42,Undirected
26,46,Undirected
26,49,Undirected
26,54,Undirected
26,63,Undirected
27,2,Undirected
27,4,Undirected
27,6,Undirected
27,7,Undirected
27,8,Undirected
27,9,Undirected
27,11,Undirected
27,12,Undirected
27,15,Undirected
27,19,Undirected
27,21,Undirected
27,22,Undirected
27,23,Undirected
27,25,Undirected
27,26,Undirected
27,29,Undirected
27,30,Undirected
27,31,Undirected
27,36,Undirected
27,37,Undirected
27,39,Undirected
27,42,Undirected
27,46,Undirected
27,49,Undirected
27,55,Undirected
27,61,Undirected
27,76,Undirected
28,4,Undirected
28,18,Undirected
28,36,Undirected
29,2,Undirected
29,4,Undirected
29,7,Undirected
29,9,Undirected
29,11,Undirected
29,12,Undirected
29,15,Undirected
29,16,Undirected
29,17,Undirected
29,18,Undirected
29,19,Undirected
29,20,Undirected
29,21,Undirected
29,22,Undirected
29,24,Undirected
29,25,Undirected
29,27,Undirected
29,30,Undirected
29,31,Undirected
29,33,Undirected
29,38,Undirected
29,39,Undirected
29,41,Undirected
29,42,Undirected
29,43,Undirected
29,46,Undirected
29,49,Undirected
29,61,Undirected
29,62,Undirected
29,70,Undirected
29,72,Undirected
30,2,Undirected
30,4,Undirected
30,8,Undirected
30,10,Undirected
30,11,Undirected
30,15,Undirected
30,23,Undirected
30,25,Undirected
30,27,Undirected
30,29,Undirected
30,31,Undirected
30,34,Undirected
30,42,Undirected
30,43,Undirected
30,46,Undirected
30,63,Undirected
30,72,Undirected
30,76,Undirected
31,4,Undirected
31,7,Undirected
31,8,Undirected
31,10,Undirected
31,11,Undirected
31,15,Undirected
31,22,Undirected
31,23,Undirected
31,26,Undirected
31,27,Undirected
31,29,Undirected
31,30,Undirected
32,2,Undirected
32,4,Undirected
32,6,Undirected
32,7,Undirected
32,8,Undirected
32,11,Undirected
32,12,Undirected
32,15,Undirected
32,18,Undirected
32,19,Undirected
32,20,Undirected
32,21,Undirected
32,22,Undirected
32,24,Undirected
32,25,Undirected
32,33,Undirected
32,37,Undirected
32,39,Undirected
32,40,Undirected
32,43,Undirected
32,46,Undirected
32,47,Undirected
32,50,Undirected
32,56,Undirected
33,4,Undirected
33,5,Undirected
33,6,Undirected
33,7,Undirected
33,9,Undirected
33,12,Undirected
33,15,Undirected
33,18,Undirected
33,19,Undirected
33,20,Undirected
33,21,Undirected
33,24,Undirected
33,25,Undirected
33,29,Undirected
33,32,Undirected
33,36,Undirected
33,37,Undirected
33,38,Undirected
33,39,Undirected
33,40,Undirected
33,41,Undirected
33,43,Undirected
33,46,Undirected
33,52,Undirected
33,53,Undirected
33,55,Undirected
33,56,Undirected
33,70,Undirected
33,72,Undirected
34,2,Undirected
34,4,Undirected
34,6,Undirected
34,7,Undirected
34,10,Undirected
34,11,Undirected
34,12,Undirected
34,15,Undirected
34,19,Undirected
34,21,Undirected
34,23,Undirected
34,26,Undirected
34,30,Undirected
34,49,Undirected
34,63,Undirected
35,1,Undirected
35,2,Undirected
35,4,Undirected
35,6,Undirected
35,7,Undirected
35,9,Undirected
35,12,Undirected
35,18,Undirected
35,19,Undirected
35,21,Undirected
35,36,Undirected
35,72,Undirected
36,1,Undirected
36,4,Undirected
36,6,Undirected
36,7,Undirected
36,12,Undirected
36,13,Undirected
36,14,Undirected
36,16,Undirected
36,17,Undirected
36,18,Undirected
36,19,Undirected
36,24,Undirected
36,27,Undirected
36,28,Undirected
36,33,Undirected
36,35,Undirected
36,42,Undirected
36,45,Undirected
36,48,Undirected
36,50,Undirected
36,52,Undirected
36,53,Undirected
36,55,Undirected
36,62,Undirected
36,63,Undirected
36,69,Undirected
36,75,Undirected
37,4,Undirected
37,6,Undirected
37,7,Undirected
37,9,Undirected
37,11,Undirected
37,12,Undirected
37,15,Undirected
37,18,Undirected
37,19,Undirected
37,20,Undirected
37,26,Undirected
37,27,Undirected
37,32,Undirected
37,33,Undirected
37,38,Undirected
37,39,Undirected
37,40,Undirected
37,41,Undirected
37,43,Undirected
37,46,Undirected
37,52,Undirected
37,53,Undirected
37,55,Undirected
37,59,Undirected
37,62,Undirected
37,68,Undirected
37,70,Undirected
38,3,Undirected
38,4,Undirected
38,7,Undirected
38,9,Undirected
38,12,Undirected
38,17,Undirected
38,19,Undirected
38,20,Undirected
38,21,Undirected
38,29,Undirected
38,33,Undirected
38,37,Undirected
38,39,Undirected
38,40,Undirected
38,43,Undirected
38,47,Undirected
38,48,Undirected
38,57,Undirected
38,59,Undirected
38,62,Undirected
39,3,Undirected
39,4,Undirected
39,6,Undirected
39,7,Undirected
39,8,Undirected
39,9,Undirected
39,11,Undirected
39,12,Undirected
39,15,Undirected
39,18,Undirected
39,19,Undirected
39,20,Undirected
39,21,Undirected
39,22,Undirected
39,25,Undirected
39,27,Undirected
39,29,Undirected
39,32,Undirected
39,33,Undirected
39,37,Undirected
39,38,Undirected
39,40,Undirected
39,41,Undirected
39,43,Undirected
39,46,Undirected
39,52,Undirected
39,53,Undirected
39,55,Undirected
39,59,Undirected
39,62,Undirected
39,70,Undirected
40,4,Undirected
40,6,Undirected
40,7,Undirected
40,12,Undirected
40,15,Undirected
40,19,Undirected
40,20,Undirected
40,21,Undirected
40,22,Undirected
40,25,Undirected
40,32,Undirected
40,33,Undirected
40,37,Undirected
40,38,Undirected
40,39,Undirected
40,43,Undirected
40,46,Undirected
40,47,Undirected
40,52,Undirected
40,53,Undirected
40,59,Undirected
40,62,Undirected
41,4,Undirected
41,6,Undirected
41,7,Undirected
41,11,Undirected
41,12,Undirected
41,17,Undirected
41,18,Undirected
41,19,Undirected
41,20,Undirected
41,24,Undirected
41,25,Undirected
41,29,Undirected
41,33,Undirected
41,37,Undirected
41,39,Undirected
41,43,Undirected
41,56,Undirected
41,70,Undirected
41,72,Undirected
42,2,Undirected
42,4,Undirected
42,7,Undirected
42,8,Undirected
42,9,Undirected
42,11,Undirected
42,15,Undirected
42,19,Undirected
42,22,Undirected
42,23,Undirected
42,25,Undirected
42,26,Undirected
42,27,Undirected
42,29,Undirected
42,30,Undirected
42,36,Undirected
42,46,Undirected
42,47,Undirected
42,51,Undirected
42,54,Undirected
42,64,Undirected
42,70,Undirected
42,76,Undirected
43,4,Undirected
43,6,Undirected
43,7,Undirected
43,9,Undirected
43,11,Undirected
43,12,Undirected
43,15,Undirected
43,18,Undirected
43,19,Undirected
43,20,Undirected
43,21,Undirected
43,22,Undirected
43,23,Undirected
43,24,Undirected
43,25,Undirected
43,29,Undirected
43,30,Undirected
43,32,Undirected
43,33,Undirected
43,37,Undirected
43,38,Undirected
43,39,Undirected
43,40,Undirected
43,41,Undirected
43,45,Undirected
43,46,Undirected
43,47,Undirected
43,50,Undirected
43,51,Undirected
43,52,Undirected
43,59,Undirected
43,62,Undirected
43,64,Undirected
43,74,Undirected
44,4,Undirected
44,11,Undirected
44,19,Undirected
44,21,Undirected
44,23,Undirected
44,24,Undirected
44,25,Undirected
44,47,Undirected
45,4,Undirected
45,6,Undirected
45,17,Undirected
45,19,Undirected
45,21,Undirected
45,23,Undirected
45,36,Undirected
45,43,Undirected
45,46,Undirected
45,50,Undirected
45,54,Undirected
45,68,Undirected
45,69,Undirected
45,71,Undirected
45,75,Undirected
46,4,Undirected
46,5,Undirected
46,6,Undirected
46,7,Undirected
46,9,Undirected
46,11,Undirected
46,12,Undirected
46,15,Undirected
46,19,Undirected
46,21,Undirected
46,24,Undirected
46,25,Undirected
46,26,Undirected
46,27,Undirected
46,29,Undirected
46,30,Undirected
46,32,Undirected
46,33,Undirected
46,37,Undirected
46,39,Undirected
46,40,Undirected
46,42,Undirected
46,43,Undirected
46,45,Undirected
46,47,Undirected
46,50,Undirected
46,62,Undirected
46,63,Undirected
46,70,Undirected
46,71,Undirected
47,2,Undirected
47,4,Undirected
47,6,Undirected
47,7,Undirected
47,8,Undirected
47,11,Undirected
47,12,Undirected
47,13,Undirected
47,18,Undirected
47,19,Undirected
47,20,Undirected
47,21,Undirected
47,22,Undirected
47,24,Undirected
47,25,Undirected
47,32,Undirected
47,38,Undirected
47,40,Undirected
47,42,Undirected
47,43,Undirected
47,44,Undirected
47,46,Undirected
47,50,Undirected
47,52,Undirected
47,56,Undirected
47,77,Undirected
48,4,Undirected
48,6,Undirected
48,7,Undirected
48,12,Undirected
48,17,Undirected
48,18,Undirected
48,19,Undirected
48,22,Undirected
48,24,Undirected
48,25,Undirected
48,36,Undirected
48,38,Undirected
48,51,Undirected
48,55,Undirected
48,69,Undirected
48,73,Undirected
49,2,Undirected
49,4,Undirected
49,7,Undirected
49,10,Undirected
49,11,Undirected
49,15,Undirected
49,18,Undirected
49,19,Undirected
49,21,Undirected
49,23,Undirected
49,25,Undirected
49,26,Undirected
49,27,Undirected
49,29,Undirected
49,34,Undirected
49,51,Undirected
49,66,Undirected
50,4,Undirected
50,6,Undirected
50,7,Undirected
50,8,Undirected
50,12,Undirected
50,19,Undirected
50,21,Undirected
50,24,Undirected
50,32,Undirected
50,36,Undirected
50,43,Undirected
50,45,Undirected
50,46,Undirected
50,47,Undirected
50,66,Undirected
51,4,Undirected
51,11,Undirected
51,42,Undirected
51,43,Undirected
51,48,Undirected
51,49,Undirected
52,1,Undirected
52,4,Undirected
52,6,Undirected
52,7,Undirected
52,11,Undirected
52,12,Undirected
52,15,Undirected
52,18,Undirected
52,19,Undirected
52,20,Undirected
52,22,Undirected
52,24,Undirected
52,33,Undirected
52,36,Undirected
52,37,Undirected
52,39,Undirected
52,40,Undirected
52,43,Undirected
52,47,Undirected
52,53,Undirected
52,55,Undirected
52,62,Undirected
52,69,Undirected
53,4,Undirected
53,6,Undirected
53,7,Undirected
53,9,Undirected
53,12,Undirected
53,14,Undirected
53,15,Undirected
53,18,Undirected
53,19,Undirected
53,24,Undirected
53,25,Undirected
53,33,Undirected
53,36,Undirected
53,37,Undirected
53,39,Undirected
53,40,Undirected
53,52,Undirected
53,55,Undirected
53,61,Undirected
53,69,Undirected
53,70,Undirected
54,4,Undirected
54,13,Undirected
54,21,Undirected
54,26,Undirected
54,42,Undirected
54,45,Undirected
54,64,Undirected
54,66,Undirected
54,67,Undirected
54,77,Undirected
55,4,Undirected
55,6,Undirected
55,7,Undirected
55,12,Undirected
55,18,Undirected
55,19,Undirected
55,20,Undirected
55,24,Undirected
55,25,Undirected
55,27,Undirected
55,33,Undirected
55,36,Undirected
55,37,Undirected
55,39,Undirected
55,48,Undirected
55,52,Undirected
55,53,Undirected
55,59,Undirected
55,62,Undirected
56,4,Undirected
56,6,Undirected
56,7,Undirected
56,12,Undirected
56,18,Undirected
56,19,Undirected
56,24,Undirected
56,25,Undirected
56,32,Undirected
56,33,Undirected
56,41,Undirected
56,47,Undirected
56,69,Undirected
56,70,Undirected
56,72,Undirected
57,4,Undirected
57,15,Undirected
57,38,Undirected
58,4,Undirected
58,9,Undirected
58,65,Undirected
59,4,Undirected
59,6,Undirected
59,7,Undirected
59,11,Undirected
59,12,Undirected
59,19,Undirected
59,37,Undirected
59,38,Undirected
59,39,Undirected
59,40,Undirected
59,43,Undirected
59,55,Undirected
59,62,Undirected
60,4,Undirected
61,0,Undirected
61,4,Undirected
61,12,Undirected
61,27,Undirected
61,29,Undirected
61,53,Undirected
61,62,Undirected
62,4,Undirected
62,6,Undirected
62,7,Undirected
62,9,Undirected
62,12,Undirected
62,19,Undirected
62,29,Undirected
62,36,Undirected
62,37,Undirected
62,38,Undirected
62,39,Undirected
62,40,Undirected
62,43,Undirected
62,46,Undirected
62,52,Undirected
62,55,Undirected
62,59,Undirected
62,61,Undirected
63,4,Undirected
63,11,Undirected
63,13,Undirected
63,19,Undirected
63,21,Undirected
63,22,Undirected
63,23,Undirected
63,26,Undirected
63,30,Undirected
63,34,Undirected
63,36,Undirected
63,46,Undirected
64,4,Undirected
64,15,Undirected
64,21,Undirected
64,42,Undirected
64,43,Undirected
64,54,Undirected
64,66,Undirected
65,4,Undirected
65,21,Undirected
65,58,Undirected
66,0,Undirected
66,2,Undirected
66,4,Undirected
66,13,Undirected
66,21,Undirected
66,23,Undirected
66,49,Undirected
66,50,Undirected
66,54,Undirected
66,64,Undirected
66,67,Undirected
66,71,Undirected
67,4,Undirected
67,11,Undirected
67,13,Undirected
67,21,Undirected
67,54,Undirected
67,66,Undirected
68,2,Undirected
68,4,Undirected
68,11,Undirected
68,21,Undirected
68,22,Undirected
68,37,Undirected
68,45,Undirected
68,71,Undirected
68,74,Undirected
68,75,Undirected
69,1,Undirected
69,4,Undirected
69,6,Undirected
69,7,Undirected
69,17,Undirected
69,18,Undirected
69,19,Undirected
69,24,Undirected
69,25,Undirected
69,36,Undirected
69,45,Undirected
69,48,Undirected
69,52,Undirected
69,53,Undirected
69,56,Undirected
70,4,Undirected
70,6,Undirected
70,7,Undirected
70,12,Undirected
70,15,Undirected
70,18,Undirected
70,19,Undirected
70,23,Undirected
70,25,Undirected
70,29,Undirected
70,33,Undirected
70,37,Undirected
70,39,Undirected
70,41,Undirected
70,42,Undirected
70,46,Undirected
70,53,Undirected
70,56,Undirected
70,72,Undirected
71,4,Undirected
71,11,Undirected
71,15,Undirected
71,23,Undirected
71,45,Undirected
71,46,Undirected
71,66,Undirected
71,68,Undirected
72,4,Undirected
72,6,Undirected
72,7,Undirected
72,11,Undirected
72,12,Undirected
72,18,Undirected
72,19,Undirected
72,24,Undirected
72,25,Undirected
72,29,Undirected
72,30,Undirected
72,33,Undirected
72,35,Undirected
72,41,Undirected
72,56,Undirected
72,70,Undirected
73,4,Undirected
73,7,Undirected
73,48,Undirected
74,3,Undirected
74,4,Undirected
74,43,Undirected
74,68,Undirected
75,2,Undirected
75,4,Undirected
75,36,Undirected
75,45,Undirected
75,68,Undirected
76,4,Undirected
76,11,Undirected
76,25,Undirected
76,27,Undirected
76,30,Undirected
76,42,Undirected
77,47,Undirected
77,54,Undirected
